id,asthma,pm10,hoval,apt_rate,pop_den
322,300,49.6586,3046.326,50.86,44609
323,331,49.6586,3046.326,49.28,46992
324,292,49.6586,3046.326,19.27,47747
325,398,49.6586,3046.326,21.63,41694
326,270,49.6586,3411.086,46.52,15566
327,266,49.6586,3046.326,15.07,13486
328,245,49.6586,3046.326,19.74,13388
329,248,49.6586,3046.326,38.09,7620
330,537,49.6586,3046.326,7.07,49474
331,282,49.6586,3008.787,20.99,36802
332,359,49.6586,3046.326,78.96,26715
333,300,49.6586,3046.326,50.86,14625
334,246,49.6586,3046.326,50.05,24569
335,302,49.6586,3046.326,61.67,45250
336,310,49.6586,3046.326,81.92,53851
337,279,49.6586,3046.326,25.95,63724
338,367,49.6586,3046.326,13.95,31878
339,336,49.6586,3046.326,63.77,9741
340,314,49.6586,3046.326,47.3,4378
341,326,50.1145,8439.845,71.54,15411
342,382,50.1145,8439.845,92.98,19180
343,372,50.1145,8439.845,65.61,10655
344,372,50.1145,8439.845,98.4,35091
345,528,50.1145,6365.776,93.92,20445
346,296,50.1145,5466.874,100,13529
347,366,50.1145,5466.874,78.32,34318
348,310,50.1145,5466.874,99.97,16274
349,405,50.1145,5466.874,99.99,19106
350,405,50.1145,5466.874,65.22,14643
351,444,50.1145,4694.683,72.19,33340
352,301,50.1145,4694.683,48.98,24827
353,286,50.1145,4694.683,28.63,14430
354,323,50.1145,4694.683,65.93,10802
355,323,50.1145,4694.683,55.91,26712
356,309,50.1145,4792.123,58.11,5548
357,309,50.1145,4792.123,11.01,3085
358,338,50.1145,865.742,21.51,465
359,270,50.2934,10215.992,77.65,10744
360,259,50.2934,6938.457,33.71,21321
361,280,50.2934,6938.457,46.7,15519
362,494,50.2934,9543.615,71.55,8345
363,330,50.2934,9543.615,71.12,26388
364,327,50.2934,9075.324,97.78,26080
365,286,50.2934,9075.324,37,30568
366,281,50.2934,9871.061,36.19,15402
367,306,50.2934,9871.061,80.38,30852
368,306,50.2934,7071.091,88.43,22527
369,306,50.2934,7071.091,95.97,33754
370,285,50.2934,3832.263,99.41,18388
371,602,50.2934,3832.263,50.1,16038
372,316,50.2934,4025.756,94.09,8996
373,225,50.2934,4025.756,68.69,20602
374,376,50.2934,4025.756,99.98,15494
375,290,50.2934,2627.382,99.14,11770
376,169,50.2934,1722.771,0,2264
377,347,50.2934,5165,90.08,11711
378,342,50.2934,9884.128,72.8,13644
379,242,50.2934,9075.324,85.35,21597
380,345,50.2934,3832.263,97.23,13944
381,430,46.8734,3189.091,45.7,25940
382,349,46.8734,3189.091,76.3,18133
383,497,46.8734,4077.872,53.06,24006
384,497,46.8734,4077.872,70.98,16839
385,420,46.8734,3988.509,14.02,44611
386,873,46.8734,3988.509,24.59,24423
387,365,46.8734,6426.423,50.48,34922
388,365,46.8734,6426.423,16.09,32753
389,365,46.8734,5389.519,99.98,6433
390,504,46.8734,4379.259,57.25,23483
391,371,46.8734,5716.125,18.33,35285
392,373,46.8734,5716.125,75.56,43266
393,391,46.8734,5871.63,8.46,37958
394,401,46.8734,5579.848,2.55,37135
395,433,46.8734,5650.741,70.46,26527
396,394,46.8734,5650.741,100,4919
397,394,46.8734,5650.741,71.98,37776
398,417,46.8734,4465.361,58.27,40627
399,417,46.8734,4465.361,99.93,7252
400,417,46.8734,2419.5,75.46,14475
401,320,46.8734,7301.457,15.21,33357
402,431,46.8734,7301.457,99.99,20199
403,315,46.8734,7301.457,100,6248
404,299,46.8734,7301.457,100,17990
405,591,46.8734,7301.457,100,17019
406,380,46.8734,7301.457,100,25157
407,327,45.1342,1618.883,99.09,12393
408,427,45.1342,3235.361,82.46,10493
409,494,45.1342,4385.525,86.01,46954
410,299,45.1342,4385.525,93.64,19654
411,473,45.1342,2931.239,89.17,10149
412,626,45.1342,2931.239,74.44,9036
413,430,45.1342,3168.36,84.82,14008
414,427,45.1342,3168.36,90.37,7603
415,398,45.1342,4150.551,43.94,45089
416,324,45.1342,4150.551,58.15,34139
417,384,45.1342,4187.56,55.79,34736
418,349,45.1342,4187.56,37.03,40540
419,259,45.1342,4187.56,46.16,36089
420,222,45.1342,2942.355,99.93,22020
421,294,45.1342,2942.355,70.95,19256
422,446,45.1342,3168.36,37.95,38994
423,351,45.1342,4150.551,37.94,24510
424,386,45.1342,4017.649,65.78,31914
